miRNA	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17
can-miR156a-3p	0	0.0807277118860254	0	1.49162069643605	0.834752335010969	0	0	0	0.0938536554966426	0.316790812762311	0	0.0676841810088882	0.14045726001455	0.226904849191096	3.90999684889799	0	0.0683742918132725
can-miR156a-5p	48609.8391715587	6740.03739307615	31567.5507515099	28978.3782121948	20249.7931437339	212.975510101483	240.529822618277	457.417115510219	817.65304668675	5051.16615133249	33431.2975016168	22282.0384932121	214172.741501686	150247.693115124	3533.03760723833	924.884351945878	1083.18553090586
can-miR156b-5p	48632.3468063853	6739.79520994049	31660.0477191536	28969.3456201997	20252.3901509984	213.706756488098	244.822775996617	462.376076965593	829.38475362383	5061.49353182854	33458.8684813367	22310.1951125118	214350.981764645	150377.709593711	3553.4762271303	936.021974702823	1116.82568247799
can-miR156b-3p	0	0	0	0.580074715280685	0.742002075565306	0	0.248866862512444	0.313858319960353	0.0938536554966426	0.823656113182008	0	0.270736724035553	0	0	1.33295347121523	0.17312366979707	0.341871459066363
can-miR156c-5p	48632.5290544406	6739.7144822286	31660.2077485094	28969.0970167503	20252.3901509984	213.706756488098	244.822775996617	462.376076965593	829.38475362383	5061.49353182854	33458.7977865169	22310.0597441497	214351.192450535	150377.709593711	3553.38736356555	936.021974702823	1116.82568247799
can-miR156c-3p	1.91360458040392	0.0807277118860254	6.88126229875608	0.0828678164686692	0	0	0	0	0	0.316790812762311	0.777643017741289	0.135368362017776	9.62132231099667	4.00865233570936	0	0	0
can-miR156d-5p	55.7679049146286	44.2387861135419	75.6938852863169	437.873542220448	519.679703674051	79.0660155526966	15.4919621913996	29.6282254042574	54.4351201880527	166.568609350423	27.9244538188917	139.970886326381	85.1873281988246	197.558488695714	65.6701743485368	817.951631901222	362.383746610344
can-miR156d-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.692494679188278	0
can-miR156e-5p	55.5856568593521	44.0773306897699	75.6938852863169	437.790674403979	519.679703674051	79.1574213510234	15.4297454757715	29.5026820762732	54.4351201880527	166.50525118787	27.9244538188917	139.903202145372	85.1873281988246	197.482853745984	65.5813107837891	817.836216121357	362.246998026718
can-miR156e-3p	0	0	0	0.414339082343346	0.463751297228316	0	0	0	0	0.0633581625524622	0	0.135368362017776	0.2809145200291	0.15126989946073	0	0.17312366979707	0
can-miR156f-5p	55.8590289422669	44.1580584016559	75.7738999642094	438.122145669854	520.328955490171	79.7972619393111	15.6163956226559	29.8793120602256	55.0920957765292	166.948758325738	27.9244538188917	140.512359774452	85.4682427188537	197.861028494635	66.3810828665182	819.048081809936	365.118718282875
can-miR156f-3p	0.273372082914846	0.161455423772051	0.0800146778925126	0	0.27825077833699	0.182811596653634	0	0.251086655968283	0.0938536554966426	0.380148975314773	0	0.338420905044441	0	0.226904849191096	0.266590694243045	0.230831559729426	1.43586012807872
can-miR156g	0.546744165829693	0	0.560102745247588	0	0	0	0	0.439401647944495	0.656975588476498	0	0.353474098973313	0	0.632057670065475	0.378174748651826	0	0	0
can-miR156h-5p	742.387453169084	446.989340712923	544.899956448011	468.203163047981	615.30522116253	337.470207422608	180.739558899663	246.378781168877	477.808960133407	185.259267303399	955.793963623839	641.578351783251	663.168953158698	408.05055379532	363.185389123775	336.552414085503	1034.22953796756
can-miR156h-3p	1.09348833165939	0.565093983202178	1.20022016838769	0.99441379762403	0.649251816119643	0.548434789960901	0.124433431256222	0.753259967904848	0.656975588476498	0.760297950629546	0.706948197946627	0.541473448071106	1.4045726001455	0.831984447034017	0.888635647476817	0.577078899323565	0.205122875439818
can-miR156i	1.82248055276564	0.645821695088203	0.960176134710151	0	0	0	0	0	0	0	0	0.473789267062218	1.54502986016005	1.58833394433767	0	0	0
