mRNA	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17
Chili_GLEAN_128907	0.223090052	97.2916387	0.470027599	40.26902126	7.212912914	1883.88875	1636.781475	128.7988976	150.3688686	12.84149416	10.30471575	27.08301204	0.461559282	0.135211567	13.09736235	0.123095936	0.434833183
Chili_GLEAN_102992	400.4450719	848.1185058	867.777815	588.6107053	328.7815827	487.6810444	573.1158891	879.7295035	796.6008924	574.9977752	578.8572754	660.9253559	355.9394039	421.6782213	639.2056527	1008.890823	730.3543887
Chili_GLEAN_131727	726.7021452	1126.882629	612.0454366	277.949663	321.8261044	309.5925317	363.3484876	504.6335166	671.2591942	573.2996261	684.6486337	1199.676354	659.0671794	760.6836735	49.91630942	91.05643926	623.6554063
Chili_GLEAN_111781	170.2649671	355.5387998	268.7184176	255.4025545	215.8839114	303.0934519	377.2909296	463.684788	421.9360765	232.3113605	258.4315936	288.4876624	195.1510521	194.7237519	248.2015942	395.3644129	261.3646172
Chili_GLEAN_114701	0	0	0	46.04181543	211.1492401	289.9975267	510.2625071	25.33000972	255.8706839	13.01560864	0	0	0.892248594	0.380188983	168.2424746	0	100.5207331
Chili_GLEAN_117233	162.2578677	151.9578794	167.0616887	90.25363177	125.941164	211.5291769	264.8659907	175.2733025	197.0049801	110.8034346	104.7146303	148.9507793	124.1084314	165.7834473	232.9357335	236.5437113	245.6480214
Chili_GLEAN_125946	73.63482214	51.08581811	59.19605919	68.99759197	123.6912687	170.2688306	149.0767441	110.1185896	118.9652395	25.12677244	21.24549899	25.79058507	38.40702097	41.71333194	71.27665013	84.09350146	81.9153245
Chili_GLEAN_122703	424.3401813	213.4668616	696.5755401	31.10108098	71.37283544	161.1637665	228.9201498	244.9293	234.8227528	90.24655537	129.458652	274.3945515	440.3038629	587.4346235	2.796130909	0.80246381	0
Chili_GLEAN_115411	2.406691781	26.58821883	1.625434826	31.02099111	37.89312141	104.012032	74.70866003	59.44651939	52.75371909	19.48745824	24.12102402	15.29364404	2.246754558	1.707699686	69.64948027	8.162076651	76.03626203
Chili_GLEAN_101626	125.9995331	177.6626131	194.8317764	38.49478679	51.12366954	96.80080783	97.0079765	186.1955786	129.8102267	88.36962145	94.01808241	123.1406013	96.10938881	137.0812686	115.0422211	177.453937	123.1940278
Chili_GLEAN_107669	88.02520371	72.57609485	78.3111086	28.45645405	43.5560458	78.90754099	69.67350771	62.91656208	66.39240496	40.01175228	42.85357012	66.16086045	65.05035069	91.95470343	75.31588492	65.39683015	82.02272087
Chili_GLEAN_105742	399.255728	384.5854398	359.6563992	97.84532319	79.52527635	75.96500771	73.29343308	604.052961	553.9684215	148.0958441	357.449381	421.9411298	831.5911945	845.6942056	33.75274239	4.07500053	58.79448066
Chili_GLEAN_131264	95.94533278	86.71155943	81.4760729	42.72129972	49.89447463	74.26619206	98.52842685	107.2987138	105.2024883	65.96859927	63.94248724	84.73975047	61.62060992	79.93318399	120.4417107	89.79734788	125.4369496
Chili_GLEAN_108298	88.21690479	67.78071167	101.8148961	58.34891499	59.75196322	73.67459966	76.86907398	138.6754067	88.11046053	55.01360049	51.86541979	44.53468111	61.87458598	110.489703	95.32735193	116.0645468	94.11157958
