microRNA	mRNA
can-miR156a-3p	Chili_GLEAN_128009
can-miR156a-3p	Chili_GLEAN_115205
can-miR156a-3p	Chili_GLEAN_107401
can-miR156a-3p	Chili_GLEAN_102534
can-miR156a-3p	Chili_GLEAN_102992
can-miR156a-3p	Chili_GLEAN_115293
can-miR156a-3p	Chili_GLEAN_108298
can-miR156a-3p	Chili_GLEAN_108299
can-miR156a-3p	Chili_GLEAN_106120
can-miR156a-3p	Chili_GLEAN_114075
can-miR156a-3p	Chili_GLEAN_123733
can-miR156a-3p	Chili_GLEAN_112254
can-miR156a-3p	Chili_GLEAN_128804
can-miR156a-3p	Chili_GLEAN_128804
can-miR156a-3p	Chili_GLEAN_133937
can-miR156a-3p	Chili_GLEAN_133581
can-miR156a-3p	Chili_GLEAN_128018
can-miR156a-3p	Chili_GLEAN_122703
can-miR156a-3p	Chili_GLEAN_116914
can-miR156a-3p	Chili_GLEAN_117455
can-miR156a-5p	Chili_GLEAN_115796
can-miR156a-5p	Chili_GLEAN_120858
can-miR156a-5p	Chili_GLEAN_140496
can-miR156a-5p	Chili_GLEAN_120108
can-miR156a-5p	Chili_GLEAN_122538
can-miR156a-5p	Chili_GLEAN_106537
can-miR156a-5p	Chili_GLEAN_139419
can-miR156a-5p	Chili_GLEAN_101517
can-miR156a-5p	Chili_GLEAN_123408
can-miR156a-5p	Chili_GLEAN_106508
can-miR156a-5p	Chili_GLEAN_105513
can-miR156a-5p	Chili_GLEAN_109076
can-miR156a-5p	Chili_GLEAN_107623
can-miR156a-5p	Chili_GLEAN_140936
can-miR156a-5p	Chili_GLEAN_138976
can-miR156a-5p	Chili_GLEAN_123025
can-miR156a-5p	Chili_GLEAN_128907
can-miR156a-5p	Chili_GLEAN_106976
can-miR156a-5p	Chili_GLEAN_129620
can-miR156a-5p	Chili_GLEAN_138250
can-miR156a-5p	Chili_GLEAN_123007
can-miR156a-5p	Chili_GLEAN_139485
can-miR156a-5p	Chili_GLEAN_108222
can-miR156b-3p	Chili_GLEAN_102992
can-miR156b-3p	Chili_GLEAN_133517
can-miR156b-3p	Chili_GLEAN_113102
can-miR156b-3p	Chili_GLEAN_131476
can-miR156b-3p	Chili_GLEAN_103196
can-miR156b-3p	Chili_GLEAN_115130
can-miR156b-3p	Chili_GLEAN_135258
can-miR156b-3p	Chili_GLEAN_133411
can-miR156b-3p	Chili_GLEAN_122781
can-miR156b-3p	Chili_GLEAN_128009
can-miR156b-3p	Chili_GLEAN_125946
can-miR156b-3p	Chili_GLEAN_114334
can-miR156b-3p	Chili_GLEAN_108298
can-miR156b-3p	Chili_GLEAN_108299
can-miR156b-3p	Chili_GLEAN_119887
can-miR156b-3p	Chili_GLEAN_134703
can-miR156b-3p	Chili_GLEAN_116703
can-miR156b-3p	Chili_GLEAN_109080
can-miR156b-5p	Chili_GLEAN_115796
can-miR156b-5p	Chili_GLEAN_120858
can-miR156b-5p	Chili_GLEAN_140496
can-miR156b-5p	Chili_GLEAN_120108
can-miR156b-5p	Chili_GLEAN_122538
can-miR156b-5p	Chili_GLEAN_106537
can-miR156b-5p	Chili_GLEAN_139419
can-miR156b-5p	Chili_GLEAN_101517
can-miR156b-5p	Chili_GLEAN_123408
can-miR156b-5p	Chili_GLEAN_106508
can-miR156b-5p	Chili_GLEAN_105513
can-miR156b-5p	Chili_GLEAN_109076
can-miR156b-5p	Chili_GLEAN_107623
can-miR156b-5p	Chili_GLEAN_140936
can-miR156b-5p	Chili_GLEAN_138976
can-miR156b-5p	Chili_GLEAN_123025
can-miR156b-5p	Chili_GLEAN_128907
can-miR156b-5p	Chili_GLEAN_106976
can-miR156b-5p	Chili_GLEAN_129620
can-miR156b-5p	Chili_GLEAN_138250
can-miR156b-5p	Chili_GLEAN_123007
can-miR156b-5p	Chili_GLEAN_139485
can-miR156b-5p	Chili_GLEAN_108222
can-miR156c-3p	Chili_GLEAN_107823
can-miR156c-3p	Chili_GLEAN_107826
can-miR156c-3p	Chili_GLEAN_104954
can-miR156c-3p	Chili_GLEAN_113206
can-miR156c-3p	Chili_GLEAN_111781
can-miR156c-3p	Chili_GLEAN_135123
can-miR156c-3p	Chili_GLEAN_104828
can-miR156c-3p	Chili_GLEAN_105742
can-miR156c-3p	Chili_GLEAN_101499
can-miR156c-3p	Chili_GLEAN_106959
can-miR156c-3p	Chili_GLEAN_111365
can-miR156c-3p	Chili_GLEAN_102871
can-miR156c-3p	Chili_GLEAN_128941
can-miR156c-3p	Chili_GLEAN_137421
can-miR156c-3p	Chili_GLEAN_112804
can-miR156c-3p	Chili_GLEAN_132920
can-miR156c-3p	Chili_GLEAN_117233
can-miR156c-3p	Chili_GLEAN_131872
can-miR156c-3p	Chili_GLEAN_111439
can-miR156c-3p	Chili_GLEAN_105268
can-miR156c-5p	Chili_GLEAN_115796
can-miR156c-5p	Chili_GLEAN_120858
can-miR156c-5p	Chili_GLEAN_140496
can-miR156c-5p	Chili_GLEAN_120108
can-miR156c-5p	Chili_GLEAN_122538
can-miR156c-5p	Chili_GLEAN_106537
can-miR156c-5p	Chili_GLEAN_139419
can-miR156c-5p	Chili_GLEAN_101517
can-miR156c-5p	Chili_GLEAN_123408
can-miR156c-5p	Chili_GLEAN_106508
can-miR156c-5p	Chili_GLEAN_105513
can-miR156c-5p	Chili_GLEAN_109076
can-miR156c-5p	Chili_GLEAN_107623
can-miR156c-5p	Chili_GLEAN_140936
can-miR156c-5p	Chili_GLEAN_138976
can-miR156c-5p	Chili_GLEAN_123025
can-miR156c-5p	Chili_GLEAN_128907
can-miR156c-5p	Chili_GLEAN_106976
can-miR156c-5p	Chili_GLEAN_129620
can-miR156c-5p	Chili_GLEAN_138250
can-miR156c-5p	Chili_GLEAN_123007
can-miR156c-5p	Chili_GLEAN_139485
can-miR156c-5p	Chili_GLEAN_108222
can-miR156d-3p	Chili_GLEAN_102115
can-miR156d-3p	Chili_GLEAN_126482
can-miR156d-3p	Chili_GLEAN_113669
can-miR156d-3p	Chili_GLEAN_116463
can-miR156d-3p	Chili_GLEAN_140859
can-miR156d-3p	Chili_GLEAN_141590
can-miR156d-3p	Chili_GLEAN_136631
can-miR156d-3p	Chili_GLEAN_109034
can-miR156d-3p	Chili_GLEAN_109033
can-miR156d-3p	Chili_GLEAN_121910
can-miR156d-3p	Chili_GLEAN_136345
can-miR156d-3p	Chili_GLEAN_136345
can-miR156d-3p	Chili_GLEAN_111513
can-miR156d-3p	Chili_GLEAN_106909
can-miR156d-3p	Chili_GLEAN_109088
can-miR156d-5p	Chili_GLEAN_115796
can-miR156d-5p	Chili_GLEAN_120858
can-miR156d-5p	Chili_GLEAN_104383
can-miR156d-5p	Chili_GLEAN_101517
can-miR156d-5p	Chili_GLEAN_106537
can-miR156d-5p	Chili_GLEAN_123408
can-miR156d-5p	Chili_GLEAN_139419
can-miR156d-5p	Chili_GLEAN_106508
can-miR156d-5p	Chili_GLEAN_105513
can-miR156d-5p	Chili_GLEAN_120578
can-miR156d-5p	Chili_GLEAN_131727
can-miR156d-5p	Chili_GLEAN_140676
can-miR156d-5p	Chili_GLEAN_130704
can-miR156d-5p	Chili_GLEAN_122538
can-miR156d-5p	Chili_GLEAN_114481
can-miR156d-5p	Chili_GLEAN_116623
can-miR156d-5p	Chili_GLEAN_127459
can-miR156d-5p	Chili_GLEAN_127458
can-miR156d-5p	Chili_GLEAN_115411
can-miR156d-5p	Chili_GLEAN_124167
can-miR156d-5p	Chili_GLEAN_129255
can-miR156d-5p	Chili_GLEAN_124166
can-miR156d-5p	Chili_GLEAN_111624
can-miR156d-5p	Chili_GLEAN_105383
can-miR156d-5p	Chili_GLEAN_136601
can-miR156d-5p	Chili_GLEAN_100791
can-miR156d-5p	Chili_GLEAN_100789
can-miR156e-3p	Chili_GLEAN_139375
can-miR156e-3p	Chili_GLEAN_131213
can-miR156e-3p	Chili_GLEAN_112704
can-miR156e-3p	Chili_GLEAN_140017
can-miR156e-3p	Chili_GLEAN_127337
can-miR156e-3p	Chili_GLEAN_131264
can-miR156e-3p	Chili_GLEAN_111103
can-miR156e-3p	Chili_GLEAN_110459
can-miR156e-3p	Chili_GLEAN_111864
can-miR156e-3p	Chili_GLEAN_100376
can-miR156e-3p	Chili_GLEAN_135905
can-miR156e-3p	Chili_GLEAN_126818
can-miR156e-3p	Chili_GLEAN_103293
can-miR156e-3p	Chili_GLEAN_138472
can-miR156e-3p	Chili_GLEAN_103543
can-miR156e-3p	Chili_GLEAN_123915
can-miR156e-3p	Chili_GLEAN_138639
can-miR156e-3p	Chili_GLEAN_100285
can-miR156e-3p	Chili_GLEAN_107854
can-miR156e-5p	Chili_GLEAN_115796
can-miR156e-5p	Chili_GLEAN_120858
can-miR156e-5p	Chili_GLEAN_104383
can-miR156e-5p	Chili_GLEAN_101517
can-miR156e-5p	Chili_GLEAN_106537
can-miR156e-5p	Chili_GLEAN_123408
